timestamp,mode,action_type,symbol,action,price,volume_usd,leverage,margin_used,fee_usd,pnl_usd,roe_pct,confidence,balance_after
2026-08-15 21:51:09,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.67500000000001,629.72,19,31.67,0.2519,0.75,2.37,1.0,91.43
2026-08-15 22:06:31,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.60499999999999,599.86,19,30.41,0.06,0.0,0.0,0.1348,91.37
2026-08-15 23:32:19,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.33500000000001,599.86,19,30.41,0.2399,-2.14,-7.04,1.0,88.99
2026-08-16 02:12:34,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.32499999999999,639.22,20,31.11,0.0639,0.0,0.0,0.1025,88.93
2026-08-16 02:57:27,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.535,639.22,20,31.11,0.2557,1.78,5.73,1.0,90.45
2026-08-16 06:28:33,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.295,557.33,19,28.82,0.0557,0.0,0.0,0.126,90.4
2026-08-16 10:28:33,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.17500000000001,557.33,19,28.82,0.2229,-0.89,-3.08,1.0,89.29
2026-08-16 11:44:50,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.215,623.59,20,30.94,0.0624,0.0,0.0,0.1318,89.22
2026-08-16 15:39:53,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.505,623.59,20,30.94,0.2494,2.4,7.77,1.0,91.38
2026-08-16 15:55:13,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.515,655.52,20,31.66,0.0656,0.0,0.0,0.1729,91.31
2026-08-16 18:11:03,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.155,655.52,20,31.66,0.2622,-3.13,-9.87,1.0,87.93
2026-08-16 19:57:23,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.185,603.51,20,30.06,0.0604,0.0,0.0,0.1436,87.87
2026-08-16 21:34:02,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,74.91499999999999,603.51,20,30.06,0.2414,-2.17,-7.21,1.0,85.46
2026-08-17 00:16:21,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,74.565,624.71,20,30.4,0.0625,0.0,0.0,0.1377,85.39
2026-08-17 01:04:10,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,74.945,624.71,20,30.4,0.2499,3.18,10.47,1.0,88.33
2026-08-17 01:19:27,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.035,644.95,20,31.15,0.0645,0.0,0.0,0.1787,88.26
2026-08-17 02:48:34,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.315,644.95,20,31.15,0.258,2.41,7.73,1.0,90.41
2026-08-17 03:04:16,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.455,625.67,19,31.47,0.0626,0.0,0.0,0.1348,90.35
2026-08-17 06:53:26,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.85499999999999,625.67,19,31.47,0.2503,3.32,10.54,1.0,93.42
2026-08-17 07:08:45,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.82499999999999,643.69,20,31.94,0.0644,0.0,0.0,0.1494,93.35
2026-08-17 08:08:24,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.555,643.69,20,31.94,0.2575,-2.29,-7.18,1.0,90.8
2026-08-17 10:33:50,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.505,602.8,19,30.2,0.0603,0.0,0.0,0.1172,90.74
2026-08-17 11:33:45,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.805,602.8,19,30.2,0.2411,2.4,7.93,1.0,92.9
2026-08-17 12:13:42,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.535,612.63,19,30.75,0.0613,0.0,0.0,0.1084,92.83
2026-08-17 14:56:58,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.82499999999999,612.63,19,30.75,0.2451,2.35,7.65,1.0,94.94
2026-08-17 15:12:39,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.82499999999999,634.9,19,31.87,0.0635,0.0,0.0,0.1025,94.88
2026-08-17 15:54:29,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,76.11500000000001,634.9,19,31.87,0.254,2.43,7.62,1.0,97.05
2026-08-17 16:09:47,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.065,709.85,20,34.68,0.071,0.0,0.0,0.1641,96.98
2026-08-17 17:16:30,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.745,709.85,20,34.68,0.2839,-2.99,-8.61,1.0,93.71
2026-08-17 18:31:40,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.005,657.25,20,31.75,0.0657,0.0,0.0,0.126,93.65
2026-08-17 19:57:50,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.725,657.25,20,31.75,0.2629,-2.42,-7.63,1.0,90.96
2026-08-17 20:26:20,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.705,638.93,20,31.1,0.0639,0.0,0.0,0.1318,90.9
2026-08-17 20:42:09,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.965,638.93,20,31.1,0.2556,2.19,7.06,1.0,92.84
2026-08-17 21:08:12,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.995,660.29,20,32.89,0.066,0.0,0.0,0.126,92.77
2026-08-17 22:52:46,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.705,660.29,20,32.89,0.2641,-2.52,-7.66,1.0,89.99
2026-08-17 23:52:09,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1913.045,659.08,21,30.9,0.0659,0.0,0.0,0.1348,89.92
2026-08-18 01:07:36,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1906.6950000000002,659.08,21,30.9,0.2636,-2.19,-7.08,1.0,87.47
2026-08-18 04:56:29,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.765,624.22,20,30.85,0.0624,0.0,0.0,0.1113,87.41
2026-08-18 07:57:02,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.985,624.22,20,30.85,0.2497,1.81,5.88,1.0,88.97
2026-08-18 09:09:39,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.055,580.98,19,29.45,0.0581,0.0,0.0,0.1055,88.91
2026-08-18 10:30:47,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.785,580.98,19,29.45,0.2324,-2.06,-7.0,1.0,86.62
2026-08-18 10:46:04,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.83500000000001,595.56,19,30.01,0.0596,0.0,0.0,0.1113,86.56
2026-08-18 11:22:37,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,76.39500000000001,595.56,19,30.01,0.2382,4.4,14.65,1.0,90.72
2026-08-18 11:37:53,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.305,665.3,20,32.14,0.0665,0.0,0.0,0.1523,90.65
2026-08-18 14:30:31,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,77.125,665.3,20,32.14,0.2661,7.15,22.25,1.0,97.53
2026-08-18 14:46:51,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.875,723.52,20,35.76,0.0724,0.0,0.0,0.1025,97.46
2026-08-18 16:01:11,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,77.16499999999999,723.52,20,35.76,0.2894,2.73,7.63,1.0,99.9
2026-08-18 16:52:15,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1918.4850000000001,712.6,21,33.53,0.0713,0.0,0.0,0.1143,99.83
2026-08-18 17:57:11,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1912.105,712.6,21,33.53,0.285,-2.37,-7.07,1.0,97.18
2026-08-18 20:03:52,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,77.08500000000001,678.97,20,32.92,0.0679,0.0,0.0,0.1055,97.11
2026-08-18 20:49:54,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,76.795,678.97,20,32.92,0.2716,-2.55,-7.76,1.0,94.28
2026-08-18 21:15:37,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.965,691.02,20,33.25,0.0691,0.0,0.0,0.1113,94.21
2026-08-19 01:15:38,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,76.85499999999999,691.02,20,33.25,0.2764,-0.99,-2.97,1.0,92.95
2026-08-19 01:40:40,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.735,632.49,19,32.06,0.0632,0.0,0.0,0.1143,92.89
2026-08-19 03:31:46,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,76.995,632.49,19,32.06,0.253,2.14,6.68,1.0,94.78
